LOG D'ÉTAT PAR STEP (temps continu)
- team=A, type=Knight, HP=100.0, pos=(2.64,9.00), intent=move_to(15.00,9.00)
- team=A, type=Crossbowman, HP=35.0, pos=(1.38,6.03), intent=move_to(15.00,7.00)
- team=A, type=Crossbowman, HP=35.0, pos=(1.38,7.97), intent=move_to(15.00,7.00)
- team=A, type=Crossbowman, HP=35.0, pos=(1.38,9.97), intent=move_to(15.00,9.00)
- team=B, type=Pikeman, HP=55.0, pos=(16.00,6.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,7.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,8.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,9.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,10.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,11.00), intent=none
- team=B, type=Knight, HP=100.0, pos=(15.00,7.00), intent=none
- team=B, type=Knight, HP=100.0, pos=(15.00,9.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,5.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,7.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,9.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,11.00), intent=none

===== STEP 3 | temps simulé = 0.60 s =====
- team=A, type=Pikeman, HP=55.0, pos=(3.66,6.05), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(3.66,7.00), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(3.66,7.95), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(3.66,9.00), intent=move_to(15.00,9.00)
- team=A, type=Pikeman, HP=55.0, pos=(3.66,9.95), intent=move_to(15.00,9.00)
- team=A, type=Knight, HP=100.0, pos=(2.96,7.00), intent=move_to(15.00,7.00)
- team=A, type=Knight, HP=100.0, pos=(2.96,7.93), intent=move_to(15.00,7.00)
- team=A, type=Knight, HP=100.0, pos=(2.96,9.00), intent=move_to(15.00,9.00)
- team=A, type=Crossbowman, HP=35.0, pos=(1.57,6.04), intent=move_to(15.00,7.00)
- team=A, type=Crossbowman, HP=35.0, pos=(1.57,7.96), intent=move_to(15.00,7.00)
- team=A, type=Crossbowman, HP=35.0, pos=(1.57,9.96), intent=move_to(15.00,9.00)
- team=B, type=Pikeman, HP=55.0, pos=(16.00,6.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,7.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,8.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,9.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,10.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,11.00), intent=none
- team=B, type=Knight, HP=100.0, pos=(15.00,7.00), intent=none
- team=B, type=Knight, HP=100.0, pos=(15.00,9.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,5.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,7.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,9.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,11.00), intent=none

===== STEP 4 | temps simulé = 0.80 s =====
- team=A, type=Pikeman, HP=55.0, pos=(3.88,6.07), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(3.88,7.00), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(3.88,7.93), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(3.88,9.00), intent=move_to(15.00,9.00)
- team=A, type=Pikeman, HP=55.0, pos=(3.88,9.93), intent=move_to(15.00,9.00)
- team=A, type=Knight, HP=100.0, pos=(3.28,7.00), intent=move_to(15.00,7.00)
- team=A, type=Knight, HP=100.0, pos=(3.28,7.90), intent=move_to(15.00,7.00)
- team=A, type=Knight, HP=100.0, pos=(3.28,9.00), intent=move_to(15.00,9.00)
- team=A, type=Crossbowman, HP=35.0, pos=(1.77,6.05), intent=move_to(15.00,7.00)
- team=A, type=Crossbowman, HP=35.0, pos=(1.77,7.95), intent=move_to(15.00,7.00)
- team=A, type=Crossbowman, HP=35.0, pos=(1.77,9.95), intent=move_to(15.00,9.00)
- team=B, type=Pikeman, HP=55.0, pos=(16.00,6.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,7.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,8.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,9.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,10.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,11.00), intent=none
- team=B, type=Knight, HP=100.0, pos=(15.00,7.00), intent=none
- team=B, type=Knight, HP=100.0, pos=(15.00,9.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,5.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,7.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,9.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,11.00), intent=none

===== STEP 5 | temps simulé = 1.00 s =====
- team=A, type=Pikeman, HP=55.0, pos=(4.10,6.09), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(4.10,7.00), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(4.10,7.91), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(4.10,9.00), intent=move_to(15.00,9.00)
- team=A, type=Pikeman, HP=55.0, pos=(4.10,9.91), intent=move_to(15.00,9.00)
- team=A, type=Knight, HP=100.0, pos=(3.60,7.00), intent=move_to(15.00,7.00)
- team=A, type=Knight, HP=100.0, pos=(3.60,7.88), intent=move_to(15.00,7.00)
- team=A, type=Knight, HP=100.0, pos=(3.60,9.00), intent=move_to(15.00,9.00)
- team=A, type=Crossbowman, HP=35.0, pos=(1.96,6.07), intent=move_to(15.00,7.00)
- team=A, type=Crossbowman, HP=35.0, pos=(1.96,7.93), intent=move_to(15.00,7.00)
- team=A, type=Crossbowman, HP=35.0, pos=(1.96,9.93), intent=move_to(15.00,9.00)
- team=B, type=Pikeman, HP=55.0, pos=(16.00,6.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,7.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,8.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,9.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,10.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,11.00), intent=none
- team=B, type=Knight, HP=100.0, pos=(15.00,7.00), intent=none
- team=B, type=Knight, HP=100.0, pos=(15.00,9.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,5.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,7.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,9.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,11.00), intent=none

===== STEP 6 | temps simulé = 1.20 s =====
- team=A, type=Pikeman, HP=55.0, pos=(4.32,6.11), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(4.32,7.00), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(4.32,7.89), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(4.32,9.00), intent=move_to(15.00,9.00)
- team=A, type=Pikeman, HP=55.0, pos=(4.32,9.89), intent=move_to(15.00,9.00)
- team=A, type=Knight, HP=100.0, pos=(3.92,7.00), intent=move_to(15.00,7.00)
- team=A, type=Knight, HP=100.0, pos=(3.91,7.85), intent=move_to(15.00,7.00)
- team=A, type=Knight, HP=100.0, pos=(3.92,9.00), intent=move_to(15.00,9.00)
- team=A, type=Crossbowman, HP=35.0, pos=(2.15,6.08), intent=move_to(15.00,7.00)
- team=A, type=Crossbowman, HP=35.0, pos=(2.15,7.92), intent=move_to(15.00,7.00)
- team=A, type=Crossbowman, HP=35.0, pos=(2.15,9.92), intent=move_to(15.00,9.00)
- team=B, type=Pikeman, HP=55.0, pos=(16.00,6.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,7.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,8.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,9.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,10.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,11.00), intent=none
- team=B, type=Knight, HP=100.0, pos=(15.00,7.00), intent=none
- team=B, type=Knight, HP=100.0, pos=(15.00,9.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,5.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,7.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,9.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,11.00), intent=none

===== STEP 7 | temps simulé = 1.40 s =====
- team=A, type=Pikeman, HP=55.0, pos=(4.53,6.13), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(4.54,7.00), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(4.53,7.87), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(4.54,9.00), intent=move_to(15.00,9.00)
- team=A, type=Pikeman, HP=55.0, pos=(4.53,9.87), intent=move_to(15.00,9.00)
- team=A, type=Knight, HP=100.0, pos=(4.24,7.00), intent=move_to(15.00,7.00)
- team=A, type=Knight, HP=100.0, pos=(4.23,7.83), intent=move_to(15.00,7.00)
- team=A, type=Knight, HP=100.0, pos=(4.24,9.00), intent=move_to(15.00,9.00)
- team=A, type=Crossbowman, HP=35.0, pos=(2.34,6.10), intent=move_to(15.00,7.00)
- team=A, type=Crossbowman, HP=35.0, pos=(2.34,7.90), intent=move_to(15.00,7.00)
- team=A, type=Crossbowman, HP=35.0, pos=(2.34,9.90), intent=move_to(15.00,9.00)
- team=B, type=Pikeman, HP=55.0, pos=(16.00,6.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,7.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,8.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,9.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,10.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,11.00), intent=none
- team=B, type=Knight, HP=100.0, pos=(15.00,7.00), intent=none
- team=B, type=Knight, HP=100.0, pos=(15.00,9.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,5.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,7.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,9.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,11.00), intent=none

===== STEP 8 | temps simulé = 1.60 s =====
- team=A, type=Pikeman, HP=55.0, pos=(4.75,6.15), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(4.76,7.00), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(4.75,7.85), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(4.76,9.00), intent=move_to(15.00,9.00)
- team=A, type=Pikeman, HP=55.0, pos=(4.75,9.85), intent=move_to(15.00,9.00)
- team=A, type=Knight, HP=100.0, pos=(4.56,7.00), intent=move_to(15.00,7.00)
- team=A, type=Knight, HP=100.0, pos=(4.55,7.80), intent=move_to(15.00,7.00)
- team=A, type=Knight, HP=100.0, pos=(4.56,9.00), intent=move_to(15.00,9.00)
- team=A, type=Crossbowman, HP=35.0, pos=(2.53,6.11), intent=move_to(15.00,7.00)
- team=A, type=Crossbowman, HP=35.0, pos=(2.53,7.89), intent=move_to(15.00,7.00)
- team=A, type=Crossbowman, HP=35.0, pos=(2.53,9.89), intent=move_to(15.00,9.00)
- team=B, type=Pikeman, HP=55.0, pos=(16.00,6.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,7.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,8.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,9.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,10.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,11.00), intent=none
- team=B, type=Knight, HP=100.0, pos=(15.00,7.00), intent=none
- team=B, type=Knight, HP=100.0, pos=(15.00,9.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,5.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,7.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,9.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,11.00), intent=none

===== STEP 9 | temps simulé = 1.80 s =====
- team=A, type=Pikeman, HP=55.0, pos=(4.97,6.16), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(4.98,7.00), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(4.97,7.84), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(4.98,9.00), intent=move_to(15.00,9.00)
- team=A, type=Pikeman, HP=55.0, pos=(4.97,9.84), intent=move_to(15.00,9.00)
- team=A, type=Knight, HP=100.0, pos=(4.88,7.00), intent=move_to(15.00,7.00)
- team=A, type=Knight, HP=100.0, pos=(4.87,7.78), intent=move_to(15.00,7.00)
- team=A, type=Knight, HP=100.0, pos=(4.88,9.00), intent=move_to(15.00,9.00)
- team=A, type=Crossbowman, HP=35.0, pos=(2.72,6.12), intent=move_to(15.00,7.00)
- team=A, type=Crossbowman, HP=35.0, pos=(2.72,7.88), intent=move_to(15.00,7.00)
- team=A, type=Crossbowman, HP=35.0, pos=(2.72,9.88), intent=move_to(15.00,9.00)
- team=B, type=Pikeman, HP=55.0, pos=(16.00,6.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,7.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,8.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,9.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,10.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,11.00), intent=none
- team=B, type=Knight, HP=100.0, pos=(15.00,7.00), intent=none
- team=B, type=Knight, HP=100.0, pos=(15.00,9.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,5.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,7.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,9.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,11.00), intent=none

===== STEP 10 | temps simulé = 2.00 s =====
- team=A, type=Pikeman, HP=55.0, pos=(5.19,6.18), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(5.20,7.00), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(5.19,7.82), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(5.20,9.00), intent=move_to(15.00,9.00)
- team=A, type=Pikeman, HP=55.0, pos=(5.19,9.82), intent=move_to(15.00,9.00)
- team=A, type=Knight, HP=100.0, pos=(5.20,7.00), intent=move_to(15.00,7.00)
- team=A, type=Knight, HP=100.0, pos=(5.19,7.75), intent=move_to(15.00,7.00)
- team=A, type=Knight, HP=100.0, pos=(5.20,9.00), intent=move_to(15.00,9.00)
- team=A, type=Crossbowman, HP=35.0, pos=(2.92,6.14), intent=move_to(15.00,7.00)
- team=A, type=Crossbowman, HP=35.0, pos=(2.92,7.86), intent=move_to(15.00,7.00)
- team=A, type=Crossbowman, HP=35.0, pos=(2.92,9.86), intent=move_to(15.00,9.00)
- team=B, type=Pikeman, HP=55.0, pos=(16.00,6.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,7.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,8.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,9.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,10.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,11.00), intent=none
- team=B, type=Knight, HP=100.0, pos=(15.00,7.00), intent=none
- team=B, type=Knight, HP=100.0, pos=(15.00,9.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,5.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,7.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,9.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,11.00), intent=none

===== STEP 11 | temps simulé = 2.20 s =====
- team=A, type=Pikeman, HP=55.0, pos=(5.41,6.20), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(5.42,7.00), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(5.41,7.80), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(5.42,9.00), intent=move_to(15.00,9.00)
- team=A, type=Pikeman, HP=55.0, pos=(5.41,9.80), intent=move_to(15.00,9.00)
- team=A, type=Knight, HP=100.0, pos=(5.52,7.00), intent=move_to(15.00,7.00)
- team=A, type=Knight, HP=100.0, pos=(5.51,7.73), intent=move_to(15.00,7.00)
- team=A, type=Knight, HP=100.0, pos=(5.52,9.00), intent=move_to(15.00,9.00)
- team=A, type=Crossbowman, HP=35.0, pos=(3.11,6.15), intent=move_to(15.00,7.00)
- team=A, type=Crossbowman, HP=35.0, pos=(3.11,7.85), intent=move_to(15.00,7.00)
- team=A, type=Crossbowman, HP=35.0, pos=(3.11,9.85), intent=move_to(15.00,9.00)
- team=B, type=Pikeman, HP=55.0, pos=(16.00,6.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,7.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,8.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,9.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,10.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,11.00), intent=none
- team=B, type=Knight, HP=100.0, pos=(15.00,7.00), intent=none
- team=B, type=Knight, HP=100.0, pos=(15.00,9.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,5.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,7.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,9.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,11.00), intent=none

===== STEP 12 | temps simulé = 2.40 s =====
- team=A, type=Pikeman, HP=55.0, pos=(5.63,6.22), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(5.64,7.00), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(5.63,7.78), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(5.64,9.00), intent=move_to(15.00,9.00)
- team=A, type=Pikeman, HP=55.0, pos=(5.63,9.78), intent=move_to(15.00,9.00)
- team=A, type=Knight, HP=100.0, pos=(5.84,7.00), intent=move_to(15.00,7.00)
- team=A, type=Knight, HP=100.0, pos=(5.83,7.71), intent=move_to(15.00,7.00)
- team=A, type=Knight, HP=100.0, pos=(5.84,9.00), intent=move_to(15.00,9.00)
- team=A, type=Crossbowman, HP=35.0, pos=(3.30,6.16), intent=move_to(15.00,7.00)
- team=A, type=Crossbowman, HP=35.0, pos=(3.30,7.84), intent=move_to(15.00,7.00)
- team=A, type=Crossbowman, HP=35.0, pos=(3.30,9.84), intent=move_to(15.00,9.00)
- team=B, type=Pikeman, HP=55.0, pos=(16.00,6.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,7.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,8.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,9.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,10.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,11.00), intent=none
- team=B, type=Knight, HP=100.0, pos=(15.00,7.00), intent=none
- team=B, type=Knight, HP=100.0, pos=(15.00,9.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,5.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,7.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,9.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,11.00), intent=none

===== STEP 13 | temps simulé = 2.60 s =====
- team=A, type=Pikeman, HP=55.0, pos=(5.85,6.24), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(5.86,7.00), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(5.85,7.76), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(5.86,9.00), intent=move_to(15.00,9.00)
- team=A, type=Pikeman, HP=55.0, pos=(5.85,9.76), intent=move_to(15.00,9.00)
- team=A, type=Knight, HP=100.0, pos=(6.16,7.00), intent=move_to(15.00,7.00)
- team=A, type=Knight, HP=100.0, pos=(6.15,7.68), intent=move_to(15.00,7.00)
- team=A, type=Knight, HP=100.0, pos=(6.16,9.00), intent=move_to(15.00,9.00)
- team=A, type=Crossbowman, HP=35.0, pos=(3.49,6.18), intent=move_to(15.00,7.00)
- team=A, type=Crossbowman, HP=35.0, pos=(3.49,7.82), intent=move_to(15.00,7.00)
- team=A, type=Crossbowman, HP=35.0, pos=(3.49,9.82), intent=move_to(15.00,9.00)
- team=B, type=Pikeman, HP=55.0, pos=(16.00,6.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,7.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,8.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,9.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,10.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,11.00), intent=none
- team=B, type=Knight, HP=100.0, pos=(15.00,7.00), intent=none
- team=B, type=Knight, HP=100.0, pos=(15.00,9.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,5.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,7.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,9.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,11.00), intent=none

===== STEP 14 | temps simulé = 2.80 s =====
- team=A, type=Pikeman, HP=55.0, pos=(6.07,6.26), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(6.08,7.00), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(6.07,7.74), intent=move_to(15.00,7.00)
- team=A, type=Pikeman, HP=55.0, pos=(6.08,9.00), intent=move_to(15.00,9.00)
- team=A, type=Pikeman, HP=55.0, pos=(6.07,9.74), intent=move_to(15.00,9.00)
- team=A, type=Knight, HP=100.0, pos=(6.48,7.00), intent=move_to(15.00,7.00)
- team=A, type=Knight, HP=100.0, pos=(6.47,7.66), intent=move_to(15.00,7.00)
- team=A, type=Knight, HP=100.0, pos=(6.48,9.00), intent=move_to(15.00,9.00)
- team=A, type=Crossbowman, HP=35.0, pos=(3.68,6.19), intent=move_to(15.00,7.00)
- team=A, type=Crossbowman, HP=35.0, pos=(3.68,7.81), intent=move_to(15.00,7.00)
- team=A, type=Crossbowman, HP=35.0, pos=(3.68,9.81), intent=move_to(15.00,9.00)
- team=B, type=Pikeman, HP=55.0, pos=(16.00,6.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,7.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,8.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,9.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,10.00), intent=none
- team=B, type=Pikeman, HP=55.0, pos=(16.00,11.00), intent=none
- team=B, type=Knight, HP=100.0, pos=(15.00,7.00), intent=none
- team=B, type=Knight, HP=100.0, pos=(15.00,9.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,5.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,7.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,9.00), intent=none
- team=B, type=Crossbowman, HP=35.0, pos=(17.00,11.00), intent=none

===== STEP 15 | temps simulé = 3.00 s =====
